PES1201900063,NA,,,NA,,CSE,
PES1201900064,PES1UG19CS069,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900065,PES1UG19CS073,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900066,PES1UG19CS315,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900067,NA,,,NA,,,
PES1201900068,PES1UG19CS585,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900069,NA,,,NA,,,
PES1201900070,NA,,,NA,,CSE,
PES1201900071,PES1UG19CS062,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900072,NA,,,NA,,,
PES1201900073,PES1UG19CS498,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900074,PES1UG19CS405,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900075,PES1UG19CS102,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900076,PES1UG19CS342,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road
PES1201900076,PES1UG19CS342,CIE - Level1(Odd Sem),Section A,NA,CIE,CSE,PES University (Ring Road)
PES1201900077,PES1UG19CS577,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900078,PES1UG19CS152,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900079,1U19CS188,,,NA,,CSE,
PES1201900080,PES1UG19CS549,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900081,PES1UG19CS316,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900082,NA,,,NA,,,
PES1201900083,PES1UG19CS525,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900084,PES1UG19CS218,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900085,PES1UG19CS436,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900086,NA,,,NA,,,
PES1201900087,PES1UG19CS322,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900088,PES1UG19CS589,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900089,NA,,,NA,,,
PES1201900090,PES1UG19CS033,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900091,PES1UG19CS249,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900092,NA,,,NA,,,
PES1201900093,NA,,,NA,,CSE,
PES1201900094,PES1UG19CS460,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road
PES1201900094,PES1UG19CS460,CIE - Level1(Odd Sem),Section A,NA,CIE,CSE,PES University (Ring Road)
PES1201900095,NA,,,NA,,CSE,
PES1201900096,PES1UG19CS031,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900097,PES1UG19CS485,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road
PES1201900097,PES1UG19CS485,CIE - Level1(Odd Sem),Section A,NA,CIE,CSE,PES University (Ring Road)
PES1201900098,PES1UG19CS542,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900099,PES1UG19CS507,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900100,PES1UG19CS184,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900101,PES1UG19CS085,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900102,NA,,,NA,,,
PES1201900103,PES1UG19CS272,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900104,PES1UG19CS380,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900105,NA,,,NA,,CSE,
PES1201900106,NA,,,NA,,CSE,
PES1201900107,PES1UG19CS209,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900109,PES1UG19CS452,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900110,NA,,,NA,,CSE,
PES1201900111,PES1UG19CS480,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900112,PES1UG19CS382,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900113,PES1UG19CS047,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900114,PES1UG19CS014,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900115,PES1UG19CS324,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
